,doc_id,0,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0,1052,-1.2192013,10.782922,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
1,1,1069,-2.2621014,6.3830733,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,10069,10069,10069,10069,10069,10069,10065,10065,10065,10065,10065,10065,10065,10065,10065,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
2,2,1024,1.7231364,7.740855,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
3,3,1024,-1.9416864,5.6504674,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
4,4,1026,-1.614892,4.736449,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,10026,10026,10026,10026,10026,10026,10026,10026,10018,10018,10018,10018,10015,10012,10004,10002,10000
5,5,1078,-2.915769,6.3535604,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,10069,10069,10069,10069,10069,10069,10065,10065,10065,10065,10065,10065,10065,10065,10065,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
6,6,1024,-1.7839146,4.8556743,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
7,7,1070,-2.2269547,5.4365063,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,10065,10065,10065,10065,10065,10065,10065,10065,10065,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
8,8,1020,0.23842694,5.3327584,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,10020,10020,10017,10015,10012,10004,10002,10000
9,9,1012,-0.8231143,6.55317,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,10012,10004,10002,10000
10,10,1065,-1.9207726,6.2831364,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,10065,10065,10065,10065,10065,10065,10065,10065,10065,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
11,11,1025,-2.15501,4.2732654,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,10018,10018,10018,10018,10015,10012,10004,10002,10000
12,12,1000,2.6868749,9.565961,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,10000
13,13,1018,-1.3504053,2.6026077,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,10018,10018,10018,10018,10015,10012,10004,10002,10000
14,14,1003,2.190611,4.266121,1003,1003,1003,1003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10002,10000
15,15,1006,1.9134743,3.8412755,10006,10006,10006,10006,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10002,10000
16,16,1018,-0.14752614,4.368622,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,10018,10018,10018,10018,10015,10012,10004,10002,10000
17,17,1000,2.2054627,9.864268,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,10000
18,18,1063,-1.1189042,11.005064,1063,1063,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
19,19,1002,1.927244,4.409622,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,10002,10000
20,20,1003,1.908771,4.339054,1003,1003,1003,1003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10003,10002,10000
21,21,1082,-1.3657169,8.889356,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,10072,10072,10072,10072,10072,10072,10072,10072,10072,10072,10067,10067,10067,10067,10067,10066,10066,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
22,22,1023,-3.1439836,7.563134,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,10019,10017,10015,10012,10004,10002,10000
23,23,1024,1.2211674,10.404858,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
24,24,1064,-0.8813429,11.148261,1064,1064,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
25,25,1023,-3.284252,7.559196,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,10019,10017,10015,10012,10004,10002,10000
26,26,1051,-1.7053112,7.2382803,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
27,27,1079,1.1670774,7.1738143,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,10075,10075,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
28,28,1054,-0.62586504,8.001225,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10049,10049,10048,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
29,29,1079,1.2389532,6.9912267,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,10075,10075,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
