doc_id,X,Y,0,1,2
0,-2.0843356,8.901099,8,33,104
1,-2.825251,5.134141,6,26,82
2,1.4421177,6.744304,1,10,34
3,-2.3387868,4.5370193,6,26,83
4,-1.954434,3.0325239,2,14,48
5,-2.484103,7.424137,6,27,86
6,-2.0917242,4.402603,6,26,83
7,-2.3872983,4.111434,6,26,83
8,-0.104026586,4.3224277,2,15,50
9,-0.8010668,5.295676,6,25,81
10,-2.5571363,6.486012,6,27,85
11,-2.4147415,3.2153301,2,14,47
12,2.432819,8.102909,3,18,59
13,-1.4899029,1.0990602,7,30,95
14,2.000207,2.9216683,4,20,66
15,1.6498151,2.4868617,4,20,65
16,-0.5532728,3.1820738,2,13,43
17,1.6744254,8.666329,3,17,56
18,-2.0143347,8.947149,8,33,104
19,1.8212795,2.9618733,4,19,63
20,1.7215679,2.8705735,4,19,63
21,-1.4210298,6.9690704,6,27,86
22,-3.5721388,5.3341994,6,26,84
23,0.4987573,8.816807,8,32,102
24,-1.8377645,9.203649,8,33,104
25,-3.785597,5.4004097,6,26,84
26,-1.4279296,5.147149,6,25,80
27,1.4416009,5.335916,1,11,38
28,3.238515,8.893492,3,18,58
29,1.3914998,5.2973094,1,11,38
30,6.1896963,6.7736793,5,22,71
31,1.4380584,4.9741096,1,11,38
32,-1.5863762,5.557615,6,25,80
33,4.831378,7.5158243,5,23,73
34,-0.65182334,5.236544,6,25,81
35,2.210675,2.2562132,4,20,64
36,2.4669707,1.8034313,4,20,64
37,2.1340303,2.3638299,4,20,66
38,2.342967,2.3891215,4,20,66
39,1.7006493,7.3518677,3,17,57
40,-1.4024508,5.37974,6,25,80
41,-1.6553963,5.7779164,6,25,80
42,-1.6643194,6.036692,6,27,87
43,3.3333745,8.123147,3,18,60
44,6.096391,7.545302,5,23,75
45,0.27793816,7.6312895,8,31,99
46,5.286073,7.0409374,5,22,70
47,0.008310101,8.816016,8,32,101
48,2.36822,7.6518087,3,17,55
49,1.8692532,2.0309758,4,20,65
50,2.8313682,7.8595448,3,18,60
51,3.2654552,8.369278,3,18,60
52,-0.6166262,5.052611,6,25,81
53,1.6319832,4.422882,1,11,37
54,-1.9749854,5.32388,6,25,80
55,5.4540143,6.8164606,5,22,70
56,1.3477966,5.624804,1,11,38
57,-1.0997642,3.825574,2,14,46
58,5.6183076,7.798953,5,23,74
59,6.9834027,7.393769,5,24,76
60,4.0847464,7.893769,3,16,52
61,2.3255181,6.797745,3,16,53
62,2.5109057,7.8242097,3,17,55
63,1.7843645,8.633254,3,17,56
64,2.97784,5.1353273,1,12,40
65,-1.2808372,3.6102111,2,14,46
66,3.1499393,7.94719,3,18,60
67,3.3933463,8.133761,3,18,60
68,-1.1473811,5.1186547,6,25,81
69,-1.9191525,7.800643,8,33,103
70,-1.3674717,6.381037,6,27,87
71,2.3868392,6.5859447,1,12,41
72,5.6585627,7.7251806,5,23,74
73,6.2030582,7.355548,5,24,77
74,3.39266,8.150741,3,18,60
75,6.201796,6.8028584,5,22,71
76,-2.163274,5.147287,6,26,82
77,1.8928622,8.36563,3,17,55
78,2.1557088,7.50109,3,17,55
79,-1.6642684,8.792124,8,33,104
80,3.38405,8.180109,3,18,60
81,0.9730061,5.855679,1,10,36
82,2.3663282,7.869391,3,17,55
83,-1.633327,5.79561,6,25,80
84,5.5199094,7.1636057,5,22,72
85,-1.6786103,5.0926332,6,25,80
86,2.4772327,7.7172875,3,17,55
87,2.4985929,7.7110157,3,17,55
88,1.5824577,6.9343843,1,10,34
89,0.22881694,8.2807255,8,32,101
90,1.8866658,6.7050037,1,10,34
91,1.611212,6.97178,1,10,34
92,-1.1474645,7.338729,8,31,97
93,5.331016,7.6364183,5,23,73
94,-2.5680685,4.505453,6,26,83
95,0.8935386,8.805326,8,32,102
96,1.426662,6.875077,1,10,34
97,3.718507,7.540857,3,16,52
98,-1.740204,7.728744,8,31,97
99,-1.4760205,3.4738107,2,14,46
100,1.3644027,6.2048764,1,10,36
101,2.8950438,7.975373,3,18,60
102,6.028108,6.8436623,5,22,71
103,0.79655993,3.6335325,4,19,61
104,1.6901431,5.969949,1,12,42
105,-2.4783223,4.4392247,6,26,83
106,3.7008798,6.658451,3,16,54
107,3.051853,7.8306303,3,18,60
108,3.7355425,7.738382,3,16,52
109,2.0000098,5.240002,1,12,40
110,3.6997805,7.5404897,3,16,52
111,4.207975,7.5273757,3,16,52
112,1.9118829,7.039942,3,17,57
113,5.544788,6.8321466,5,22,70
114,-0.6212158,6.151646,6,25,79
115,0.7842844,3.7130482,4,19,61
116,1.7691375,7.038,1,10,34
117,6.0517793,6.9468904,5,22,71
118,-1.6147008,5.4449434,6,25,80
119,0.74286467,3.6464586,4,19,61
120,3.8445146,7.5288777,3,16,52
121,1.8922153,8.37999,3,17,55
122,2.7377975,8.511199,3,18,58
123,6.288152,7.423454,5,24,77
124,-2.1131384,4.172417,6,26,83
125,1.987977,8.270964,3,17,55
126,3.5540128,7.7558346,3,16,52
127,2.9028192,8.236562,3,18,60
128,3.3647008,7.906365,3,18,60
129,6.1134696,7.7772145,5,23,74
130,5.66003,7.3027434,5,23,75
131,0.9861502,4.1475224,1,11,37
132,2.852392,5.2399025,1,12,40
133,3.2955234,8.325042,3,18,60
134,3.833904,7.5390816,3,16,52
135,-2.3472905,4.508346,6,26,83
136,6.3091474,7.0097885,5,24,78
